Year,hole_area,Dobson Units,co2,co2_growth_prct,co2_growth_abs,consumption_co2,trade_co2,trade_co2_share,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,share_global_coal_co2,share_global_oil_co2,share_global_gas_co2,share_global_flaring_co2,share_global_cement_co2,cumulative_coal_co2,cumulative_oil_co2,cumulative_gas_co2,cumulative_flaring_co2,cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_oil_co2,share_global_cumulative_gas_co2,share_global_cumulative_flaring_co2,share_global_cumulative_cement_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,primary_energy_consumption,energy_per_capita,energy_per_gdp,population,gdp
1979,0.1,225.0,76753.46500000004,1479.3090000000004,2085.9840000000013,0.0,0.0,0.0,1246.3459999999995,0.0,392.00299999999976,2305064.1359999995,397.2239999999999,68.84299999999999,0.0,30.786000000000023,1669.7610000000009,27231.72900000001,1354.378,10486.124999999998,35558.909000000014,0.0,23.078999999999994,239.0679999999999,96.71899999999998,182.74899999999997,704.7309999999998,0.0,399.52200000000005,384.139,398.6859999999999,376.0100000000001,416.159,1452189.1559999997,639720.6009999997,160386.192,21185.256999999998,31582.92099999999,416.11300000000006,368.43899999999974,362.5719999999999,360.51599999999985,417.5849999999999,0.0,0.0,0.0,0.0,0.0,0.0,141762.633,2591656.5490000006,242.53599999999997,12768980128.0,62588430744960.0
1980,1.4,203.0,76520.75100000002,1627.9939999999992,-220.08500000000006,0.0,0.0,0.0,1220.2629999999997,0.0,392.77999999999986,2381129.1599999997,397.0739999999999,81.98799999999999,0.0,30.434000000000008,1677.528,28059.402000000013,1191.3429999999998,10819.085000000001,34332.416999999994,0.0,23.53299999999999,245.65300000000002,78.405,187.98500000000007,684.7010000000005,0.0,399.84999999999985,384.7349999999998,399.518,376.424,415.2819999999998,1480248.556,674038.3130000003,171205.232,22376.601000000002,33260.459000000024,415.79,369.2279999999997,364.707,361.3279999999999,417.47200000000004,0.0,0.0,0.0,0.0,0.0,0.0,140370.72699999998,2533471.384000001,238.32700000000003,12992977936.0,65315057635584.0
1981,0.6,209.5,74378.19699999999,122.00999999999998,-2108.6720000000005,0.0,0.0,0.0,1119.9099999999996,0.0,392.5940000000001,2455099.6559999995,396.939,80.04700000000001,0.0,29.741000000000007,1666.9170000000008,27680.39400000002,900.0750000000002,11020.051000000003,32703.674999999996,0.0,22.401999999999997,239.4439999999999,42.63200000000001,178.934,636.4970000000004,0.0,396.9110000000002,385.3210000000001,402.332,379.2909999999999,412.9489999999999,1507928.96,706741.3770000001,182225.28399999999,23276.676,34927.366999999984,415.429,369.9429999999998,366.78600000000006,361.994,417.25,0.0,0.0,0.0,0.0,0.0,0.0,139240.50799999997,2493944.0409999997,239.14900000000003,13221386896.0,65761950803104.0
1982,4.8,185.0,73889.81099999999,494.20399999999995,-449.638,0.0,0.0,0.0,1102.6370000000002,0.0,393.1350000000001,2528621.130000001,396.8269999999999,78.88700000000001,0.0,29.591999999999985,1652.6130000000003,28103.688000000016,899.7460000000005,10864.161,32001.270000000022,0.0,22.087000000000014,237.53700000000003,42.342999999999996,168.69099999999995,631.9830000000002,0.0,395.82800000000015,386.3409999999999,405.302,381.5779999999999,411.48599999999965,1536032.6440000008,738742.63,193089.44100000002,24176.416,36579.985000000015,415.05599999999987,370.62899999999973,368.7520000000001,362.6889999999999,416.9840000000001,0.0,0.0,0.0,0.0,0.0,0.0,138291.304,2504859.1940000006,244.00799999999998,13453811032.0,65954100909296.0
1983,7.9,172.9,74492.61100000003,317.7269999999999,617.051,0.0,0.0,0.0,1011.216,0.0,392.7569999999999,2602759.6540000006,396.71000000000004,78.24500000000002,0.0,29.245000000000005,1683.8020000000006,28773.502999999997,809.7450000000003,11139.444999999998,31732.041999999998,0.0,21.987,241.69500000000008,36.29800000000001,167.01400000000004,544.2179999999998,0.0,393.49699999999996,386.29000000000013,408.767,379.9040000000001,409.5190000000001,1564806.1509999996,770474.678,204228.8749999999,24986.16500000001,38263.782000000014,414.63999999999993,371.2499999999999,370.72999999999996,363.22,416.65400000000005,0.0,0.0,0.0,0.0,0.0,0.0,140426.85100000002,2486081.223,243.96399999999994,13691534088.0,67136100665568.0
1984,10.1,163.6,76351.27500000001,1224.744000000001,1857.2300000000012,0.0,0.0,0.0,1110.6570000000002,0.0,391.20499999999964,2678753.9979999987,396.55,77.50400000000002,0.0,28.822000000000006,1698.8529999999992,29779.230000000014,696.2110000000001,12024.942000000005,31796.43799999999,0.0,22.709999999999997,251.93400000000008,35.36600000000001,174.32899999999998,626.311,0.0,390.58899999999994,385.24100000000004,408.6609999999999,372.068,405.6169999999999,1594585.375,802269.786,216253.82299999992,25682.373000000003,39962.638000000006,414.159,371.7799999999998,372.656,363.45400000000006,416.17199999999997,0.0,0.0,0.0,0.0,0.0,0.0,147188.03100000002,2556241.5239999993,242.90000000000003,13935982768.0,69442600699616.0
1985,14.2,146.5,79177.888,1192.4500000000005,2818.4919999999993,0.0,0.0,0.0,1155.8190000000002,0.0,391.78599999999994,2757568.175999999,396.407,81.63,0.0,26.83599999999999,1699.1369999999995,32036.279999999988,673.8499999999999,12618.783999999996,31786.13,0.0,22.04700000000001,269.109,32.46000000000001,187.505,644.7049999999998,0.0,391.76299999999986,384.33799999999997,411.77000000000004,370.47999999999996,401.94199999999995,1626621.6550000005,834055.9089999998,228872.607,26356.229000000007,41661.777999999984,413.6939999999999,372.24099999999976,374.61799999999994,363.632,415.56899999999996,0.0,0.0,0.0,0.0,0.0,0.0,165838.70600000003,3128620.9930000002,309.5720000000002,14187824208.0,71648801109088.0
1986,11.3,157.8,80133.497,77.50400000000008,929.7280000000003,0.0,0.0,0.0,1027.4140000000002,0.0,390.8649999999999,2837312.061000001,396.248,81.82299999999998,0.0,26.254,1757.7139999999993,32355.412000000004,623.047,12363.755000000001,32643.97800000001,0.0,21.319999999999997,267.2809999999999,23.110999999999994,192.44999999999996,523.2590000000001,0.0,391.29,383.277,411.361,366.10400000000004,399.515,1658977.06,866699.8860000008,241236.3660000001,26979.270999999993,43419.479,413.23399999999987,372.64699999999976,376.34100000000007,363.69000000000005,414.8960000000001,0.0,0.0,0.0,0.0,0.0,0.0,169442.12099999996,3192387.085,316.0540000000002,14447873744.0,74234308062208.0
1987,19.3,123.0,82113.91699999999,1861.8080000000014,1844.0509999999992,0.0,0.0,0.0,1028.4900000000002,0.0,387.3489999999999,2918900.0030000014,396.0010000000001,82.10900000000002,0.0,26.108999999999998,1821.3869999999995,33316.48800000002,600.962,13435.600999999999,32413.517999999993,0.0,21.98400000000001,270.5910000000001,19.779,198.92499999999998,517.2059999999999,0.0,388.85800000000006,376.148,412.693,367.44199999999995,397.3690000000002,1692293.5400000003,899113.406,254671.96200000006,27580.233999999997,45240.865000000005,412.7209999999999,372.7729999999998,378.10099999999994,363.77,414.16100000000006,0.0,0.0,0.0,0.0,0.0,0.0,175360.111,3202663.5379999997,314.6159999999999,14714853936.0,77086924058912.0
1988,10.0,171.0,84874.61400000003,1164.8469999999993,2742.937999999999,0.0,0.0,0.0,1059.952,0.0,385.66799999999984,3003230.8930000006,395.70600000000013,82.38900000000002,0.0,26.256999999999994,1919.8970000000006,34209.718,697.29,14077.428999999996,33426.57,0.0,22.45200000000001,273.6070000000001,18.671,210.21300000000008,535.0089999999999,0.0,386.1620000000002,374.724,412.2650000000001,374.516,395.09399999999994,1726503.2619999996,932539.9630000007,268749.3880000001,28277.517999999996,47160.763,412.164,372.8469999999999,379.7429999999999,364.028,413.3409999999998,0.0,0.0,0.0,0.0,0.0,0.0,181938.73999999996,3238615.155999999,312.167,14984688080.0,80273488188128.0
