Global Radiative Forcing 1979 - 2018 (W m-2),,,,,,,,CO2-eq,AGGI,
,,,,,,,,(ppm),,%
Year,CO2,CH4,N2O,CFC12,CFC11,15-minor,Total,Total,1990 = 1,change *
1979,1.027,0.406,0.104,0.092,0.040,0.031,1.699,382,0.785,
1980,1.058,0.413,0.104,0.097,0.042,0.034,1.748,385,0.807,2.2
1981,1.077,0.420,0.107,0.102,0.044,0.036,1.786,388,0.825,1.8
1982,1.089,0.426,0.111,0.107,0.046,0.038,1.818,391,0.840,1.5
1983,1.115,0.429,0.113,0.113,0.048,0.041,1.859,394,0.859,1.9
1984,1.140,0.432,0.116,0.118,0.050,0.044,1.900,397,0.878,1.9
1985,1.162,0.437,0.118,0.123,0.053,0.047,1.940,399,0.896,1.9
1986,1.184,0.442,0.121,0.129,0.056,0.049,1.982,403,0.916,1.9
1987,1.211,0.447,0.120,0.135,0.058,0.053,2.025,406,0.936,2.0
1988,1.250,0.451,0.122,0.143,0.061,0.057,2.085,410,0.963,2.8
1989,1.275,0.455,0.126,0.149,0.063,0.061,2.130,414,0.984,2.1
1990,1.293,0.459,0.129,0.154,0.065,0.065,2.165,417,1.000,1.6
1991,1.312,0.463,0.131,0.158,0.066,0.069,2.199,419,1.016,1.6
1992,1.323,0.467,0.133,0.162,0.067,0.072,2.224,421,1.027,1.1
1993,1.334,0.467,0.134,0.164,0.067,0.074,2.239,422,1.034,0.7
1994,1.356,0.470,0.135,0.165,0.067,0.076,2.269,425,1.048,1.4
1995,1.383,0.472,0.136,0.168,0.067,0.077,2.303,428,1.064,1.6
1996,1.410,0.473,0.139,0.170,0.066,0.078,2.336,430,1.079,1.5
1997,1.426,0.474,0.142,0.171,0.066,0.079,2.357,432,1.089,1.0
1998,1.464,0.478,0.144,0.172,0.066,0.080,2.404,436,1.111,2.2
1999,1.495,0.481,0.148,0.173,0.065,0.082,2.443,439,1.129,1.8
2000,1.513,0.481,0.151,0.173,0.065,0.083,2.466,441,1.139,1.1
2001,1.535,0.480,0.153,0.174,0.064,0.085,2.492,443,1.151,1.2
2002,1.564,0.481,0.155,0.174,0.064,0.087,2.525,446,1.167,1.5
2003,1.600,0.483,0.157,0.174,0.063,0.089,2.566,449,1.186,1.9
2004,1.627,0.483,0.159,0.174,0.063,0.090,2.596,452,1.199,1.4
2005,1.655,0.482,0.162,0.173,0.062,0.092,2.626,454,1.213,1.4
2006,1.685,0.482,0.165,0.173,0.062,0.095,2.661,457,1.230,1.6
2007,1.710,0.484,0.167,0.172,0.061,0.098,2.692,460,1.244,1.4
2008,1.739,0.486,0.170,0.171,0.061,0.100,2.728,463,1.260,1.7
2009,1.760,0.489,0.172,0.171,0.060,0.103,2.755,465,1.273,1.2
2010,1.791,0.491,0.175,0.169,0.060,0.106,2.792,469,1.290,1.7
2011,1.817,0.492,0.178,0.169,0.059,0.109,2.824,471,1.305,1.5
2012,1.845,0.494,0.181,0.168,0.059,0.112,2.858,474,1.320,1.5
2013,1.882,0.496,0.183,0.167,0.058,0.114,2.901,478,1.340,2.0
2014,1.908,0.499,0.187,0.166,0.058,0.117,2.935,481,1.356,1.6
2015,1.938,0.504,0.190,0.165,0.058,0.119,2.974,485,1.374,1.8
2016,1.985,0.507,0.193,0.164,0.057,0.122,3.028,490,1.399,2.5
2017,2.013,0.509,0.195,0.163,0.057,0.124,3.062,493,1.415,1.6
2018,2.044,0.512,0.199,0.162,0.057,0.127,3.101,496,1.433,1.8
2019,2.076,0.516,0.202,0.161,0.057,0.129,3.140,500,1.451,1.8
,,,,,,,,,,
* annual change (in %) is calculated relative to 1990,,,,,,,,,,
,"e.g., %changeYr2-Yr1 = 100*(RFYr2-RFYr1)/RF1990",,,,,,,,,
