,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
North America,22.99389,22.52281,21.24996,20.11535,21.44691,20.94839,19.67609,20.72203,21.77161,22.98727,23.03305,23.52853,24.41776,25.04986,25.7016,26.7644,27.29952,27.4347,27.05817,27.42491,28.3463,27.45426,28.42206,28.04075,28.02332,27.75657,27.90121,29.29893,29.45917,28.76674,29.84017
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,1.91491,1.86417,1.90217,1.90034,2.05577,2.20417,2.16031,2.14368,2.37063,2.46086,2.41091,2.43649,2.63982,2.73646,2.83341,2.9328,2.98429,2.95366,2.86465,3.17902,3.05118,3.19009,3.24322,3.45726,3.4245,3.49574,3.39607,3.5194,3.50256,3.20843,3.02674
Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0.84352,0.91133,0.99157,0.99417,0.99753,1.04073,0.92441,0.93855,0.95259,0.92472,1.01898,1.05908,1.06431,1.0845,1.14013,1.16046,1.23059,1.25833,1.36329,1.33666,1.4709,1.49161,1.62042,1.75285,1.68968,1.69941,2.28124,2.07754,2.16548,2.14732,2.14732
Saint Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,20.23546,19.74731,18.35622,17.22084,18.39361,17.70348,16.59136,17.6398,18.44839,19.60169,19.60317,20.03296,20.71363,21.2289,21.72807,22.67114,23.08465,23.22272,22.83023,22.90923,23.82422,22.77256,23.55842,22.83064,22.90914,22.56142,22.2239,23.70199,23.79113,23.411,24.66611
Central & South America,1.38977,1.48129,1.58054,1.57959,1.88437,1.94045,1.97207,1.88586,2.01877,2.30458,2.20169,2.35601,2.33762,2.49707,2.65086,2.80192,3.00298,3.17318,3.39571,3.32456,3.56844,3.83434,3.7813,3.95009,4.37171,4.49244,4.82154,4.63877,4.9277,4.64677,5.17488
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.36833,0.37141,0.46786,0.46067,0.58687,0.59303,0.64125,0.62042,0.73155,0.82176,0.73517,0.81595,0.82259,0.87057,0.89493,0.99604,1.05583,1.05325,1.12595,1.19422,1.22559,1.15215,1.11709,1.27615,1.39904,1.4924,1.54112,1.62083,1.63891,1.59205,1.59758
Aruba,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0.00037,0.00037,0.00037,0.00042,0.00042,0.00042,0.00042,0.00037,0.00097,0.00105,0.00105,0.00083,0.0008,0.00112,0.00082,0.00097,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108,0.00108
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.01306,0.01959,0.012,0.015,0.014,0.011,0.014,0.01367,0.01942,0.02614,0.03,0.026,0.032,0.03002,0.03496,0.045,0.03875,0.04945,0.03211,0.03321,0.0465,0.03026,0.03764,0.08267,0.07897,0.07787,0.08857,0.09263,0.10595,0.10444,0.10038
Brazil,0.05662,0.05662,0.05092,0.0631,0.08192,0.10184,0.09963,0.11602,0.1079,0.13565,0.11398,0.13966,0.15299,0.15184,0.15829,0.16564,0.18547,0.20274,0.21302,0.2402,0.34671,0.41208,0.49178,0.51933,0.63245,0.6835,0.71031,0.72941,0.86861,0.68754,0.92554
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0.085,0.085,0.049,0.046,0.048,0.044,0.026,0.02578,0.03532,0.05686,0.066,0.052,0.05444,0.0618,0.06851,0.0671,0.06712,0.10383,0.11977,0.1702,0.19319,0.23509,0.23857,0.29303,0.30711,0.31637,0.27858,0.15337,0.09721,0.09774,0.1972
Colombia,0.1188,0.1272,0.1272,0.1224,0.1716,0.1728,0.1728,0.13006,0.13582,0.13549,0.14028,0.144,0.14009,0.14585,0.15092,0.14927,0.15551,0.19586,0.20538,0.16994,0.187,0.1998,0.2021,0.1998,0.20275,0.21883,0.23687,0.24737,0.24606,0.2851,0.29789
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.00062,0.00032,0.00032,0.00028,0.00013,0.00025,0.00021,0.00082,0.00074,0.00115,0.00119,0.00124,0.00128,0.00131,0.00128,0.00152,0.00159,0.02773,0.01479,0.01849,0.02218,0.01109,0.01294,0.01368,0.01368,0.01479,0.01479,0.02218,0.04289,0.04289,0.04252
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01109,0.00481,0.00924,0.00924,0.01775,0.01738,0.02071,0.03032
Ecuador,0.0039,0.0026,0.0026,0.0039,0.0052,0.0052,0.0039,0.00252,0.00367,0.00367,0.0052,0.00419,0.00459,0.00459,0.00459,0.00551,0.00551,0.00459,0.00459,0.00459,0.00643,0.00735,0.00459,0.00689,0.0078,0.01194,0.01285,0.01263,0.01194,0.01359,0.01515
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Islas Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
