name,address,city,state,postal_code,latitude,longitude,rating,price,descripton
Baldwinsville Bed and Breakfast,70 Oswego Street,Baldwinsville,NY,13027,43.16099,-76.3338,3.5,119.67,
Park House Bed and Breakfast,85 Park Street,Binghamton,NY,13905,42.10901,-75.94552,3.0,102.94,
Sankofa Aban Bed and Breakfast,107 Macon Street,Brooklyn,NY,11216,40.68136,-73.947,2.5,192.68,
Lefferts Gardens Residence Bed and Breakfast,44 Rutland Road,Brooklyn,NY,11225,40.65887,-73.95907,2.5,144.44,
Oyo Bed & Breakfast,1390 Bedford Avenue,Brooklyn,NY,11216,40.67571,-73.95325,2.5,132.52,
Hipster's Cove Bed & Breakfast,1300 Sterling Place,Brooklyn,NY,11213,40.67171,-73.9355,2.5,69.66,
Illumination Bed & Breakfast,138 Saint James Place,Brooklyn,NY,11238,40.68579,-73.96457,2.5,120.81,
Burdett House Bed & Breakfast,3789 Main Street,Burdett,NY,14818,42.41727,-76.85054,3.0,125.71,
Bed and Breakfast at Oliver Phelps,252 North Main Street,Canandaigua,NY,14424,42.89552,-77.28726,4.0,189.84,
The Bella Ella Bed & Breakfast,2300 Brickyard Rd,Canandaigua,NY,14424,42.91862,-77.3248,3.0,78.2,
Filigree Inn Bed & Breakfast,5406 Bristol Valley Road Route 64,Canandaigua,NY,14424,42.75743,-77.40621,3.0,169.55,
Blue Horizon Bed and Breakfast,60 Dinch Road,Claryville,NY,12725,41.92017,-74.50429,2.5,150.88,
Temple Hill Bed & Breakfast,114 Temple Hill Street,Geneseo,NY,14454,42.79393,-77.80843,3.0,139.85,
Harbor Knoll Bed and Breakfast,424 Fourth Street,Greenport,NY,11944,41.09886,-72.36378,4.0,262.58,
Ruah Bed & Breakfast,9221 Lake Shore Drive,Hague,NY,12836,43.751,-73.48694,3.5,160.42,
Bellinger Rose Bed & Breakfast,611 W German St,Herkimer,NY,13350,43.02757,-74.99687,2.5,169.01,
Stonegate Bed and Breakfast,34 North Road,Highland,NY,12528,41.72659,-73.96506,3.5,150.21,
Greenwoods Bed & Breakfast Inn,8136 Quayle Rd,Honeoye,NY,14471,42.80363,-77.48402,3.0,159.1,
Journey Inn Bed & Breakfast,1 Sherwood Place,Hyde Park,NY,12538,41.79496,-73.93771,4.0,160.71,
JFK Bed & Breakfast Guesthouse,12804 143rd Street,Jamaica,NY,11436,40.67222,-73.79577,2.5,84.16,
Spruce Lodge Bed & Breakfast & Guest Cottage,6034 Sentinel Road,Lake Placid,NY,12946,44.27466,-73.98084,2.0,75.41,
North Fork Bed and Breakfast/Gifts,219 Baker Road,Lisbon,NY,13658,44.71108,-75.27292,3.0,104.88,
The Fox and the Grapes Bed & Breakfast,9496 State Route 414,Lodi,NY,14860,42.56433,-76.86162,3.5,205.81,
Mountain Treasure Bed and Breakfast,408 County Route 40,Maplecrest,NY,12454,42.27513,-74.19433,3.0,154.42,
Allegiance Bed and Breakfast,145 Main Street,Mount Morris,NY,14510,42.72149,-77.87158,2.5,155.44,
Bristol Views Bed and Breakfast,6932 County Rd. 12,Naples,NY,14512,42.68428,-77.37563,3.0,172.54,
Harlem Bed and Breakfast,54 West 120th Street,New York,NY,10027,40.80401,-73.9465,1.5,180.0,
Allies' Inn Bed and Breakfast,313 West 136th Street,New York,NY,10030,40.81751,-73.94678,3.0,278.0,
Beautiful 1 Bedroom Apartment,953 Columbus Avenue,New York,NY,10025,40.79974,-73.96243,3.5,150.81,
The Alpine Homestead Bed & Breakfast,1314 County Route 29,Olmstedville,NY,12857,43.77172,-73.92332,3.5,112.67,
Finger Lakes Bed and Breakfast,128 South Avenue,Penn Yan,NY,14527,42.65525,-77.05082,3.0,139.86,
Cider Mill Inn Bed and Breakfast,207 Glenwood Road,Pine Island,NY,10969,41.27091,-74.47657,3.5,180.4,
Windsong Retreat Bed & Breakfast,78 Katrina Falls Road,Rock Hill,NY,12775,41.62259,-74.60281,3.0,159.95,
Caldwell House Bed & Breakfast,25 Orrs Mills Road,Salisbury Mills,NY,12577,41.43147,-74.1227,3.0,290.31,
Kiwassa Lake Bed & Breakfast and Cabins,1150 Kiwassa Lake Rd,Saranac Lake,NY,12983,44.28782,-74.15834,3.0,275.54,
Union Gables Bed & Breakfast,55 Union Ave,Saratoga Springs,NY,12866,43.0772,-73.77986,3.0,225.51,
John Morris Manor Bed & Breakfast,2138 Route 89,Seneca Falls,NY,13148,42.92196,-76.75144,3.0,150.47,
Fort Place Bed & Breakfast,22 Fort Pl,Staten Island,NY,10301,40.642,-74.07902,2.0,120.62,
The Harbor House Bed & Breakfast,1 Hylan Blvd,Staten Island,NY,10305,40.61548,-74.06338,2.5,129.69,
Victorian Bed & Breakfast,92 Taylor Street,Staten Island,NY,10310-1226,40.63676,-74.12343,2.5,140.02,
ElmRock Inn Bed and Breakfast,4496 Route 209 Ulster,Stone Ridge,NY,12484,41.82516,-74.18978,4.0,190.18,
Rosemont Inn Bed & Breakfast,1423 Genesee Street,Utica,NY,13501,43.09421,-75.24619,3.0,130.26,
Tin Brook Bed and Breakfast,2 Berea Road,Walden,NY,12586,41.55842,-74.15907,3.5,147.12,
Oakcliff Bed and Breakfast,78 Church Hill Road,Waterford,NY,12188,42.82507,-73.72946,3.5,119.1,
